Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2022-12-14T06:40:53.316325Z,,CUSTODY FEE,,,-$0.67,USD,1.07
2023-01-04T06:22:32.525877Z,,CUSTODY FEE,,,-$0.64,USD,1.06
2023-01-09T14:33:38.470Z,BABA,BUY - MARKET,1.79388285,$111.49,$200,USD,1.08
2023-01-17T07:27:05.071140Z,WPC,DIVIDEND,,,$4.45,USD,1.09
2023-01-20T06:34:39.514193Z,NYT,DIVIDEND,,,$1.20,USD,1.09
2023-02-01T09:28:57.865712Z,,CUSTODY FEE,,,-$0.71,USD,1.09
2023-02-10T07:07:18.006034Z,MA,DIVIDEND,,,$1.55,USD,1.08
2023-02-16T07:09:23.204737Z,NNN,DIVIDEND,,,$3.91,USD,1.08
2023-02-28T16:23:14.778Z,MSFT,BUY - MARKET,0.79923273,$250.24,$200,USD,1.07
2023-03-02T05:09:33.521875Z,,CUSTODY FEE,,,-$0.71,USD,1.07
2023-03-02T07:41:47.464897Z,V,DIVIDEND,,,$1.44,USD,1.07
2023-03-13T14:43:10.890098Z,,CASH WITHDRAWAL,,,-$18.63,USD,1.08
2023-03-13T14:43:10.890132Z,,CASH WITHDRAWAL,,,-$18.63,USD,1.08
2023-03-14T06:35:45.159273Z,XOM,DIVIDEND,,,$13.85,USD,1.08
2023-04-04T05:14:43.897176Z,,CUSTODY FEE,,,-$0.73,USD,1.10
2023-04-17T05:02:38.503213Z,WPC,DIVIDEND,,,$4.46,USD,1.10
2023-04-21T05:59:47.393851Z,NYT,DIVIDEND,,,$1.47,USD,1.10
2023-05-02T14:17:19.550406Z,,CUSTODY FEE,,,-$0.75,USD,1.10
2023-05-10T11:20:58.040874Z,MA,DIVIDEND,,,$1.55,USD,1.10
2023-05-11T08:58:56.783229Z,,CASH TOP-UP,,,$400,USD,1.10
2023-05-16T04:37:03.767601Z,NNN,DIVIDEND,,,$3.91,USD,1.09
2023-05-16T13:51:12.129Z,XOM,SELL - MARKET,17.89709172,$103.99,"$1,861.13",USD,1.09
2023-05-17T13:30:08.766Z,O,BUY - MARKET,6.60463576,$60.40,$400,USD,1.09
2023-06-02T03:17:21.693614Z,,CUSTODY FEE,,,-$0.54,USD,1.08
2023-06-02T05:24:11.223750Z,V,DIVIDEND,,,$1.44,USD,1.08
2023-06-09T05:36:45.229442Z,MSFT,DIVIDEND,,,$0.46,USD,1.08
2023-06-13T04:32:55.181185Z,XOM,DIVIDEND,,,$13.85,USD,1.08
2023-06-16T04:37:49.805518Z,O,DIVIDEND,,,$1.43,USD,1.10
2023-06-22T18:33:25.131Z,INTC,BUY - MARKET,12.28562653,$32.56,$400,USD,1.10
2023-06-25T10:30:32.193976Z,NNN,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,8.37016112,,$0,USD,1.09
2023-06-25T10:30:32.197186Z,DIS,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,5.75520833,,$0,USD,1.09
2023-06-25T10:30:32.200462Z,MSFT,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,0.79923273,,$0,USD,1.09
2023-06-25T10:30:32.203406Z,O,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,6.60463576,,$0,USD,1.09
2023-06-25T10:30:32.206230Z,V,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,3.75957516,,$0,USD,1.09
2023-06-25T10:30:32.209235Z,BABA,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,1.79388285,,$0,USD,1.09
2023-06-25T10:30:32.212447Z,AMD,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,3.46350333,,$0,USD,1.09
2023-06-25T10:30:32.215189Z,INTC,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,12.28562653,,$0,USD,1.09
2023-06-25T10:30:32.217793Z,NYT,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,15.68249893,,$0,USD,1.09
2023-06-25T10:30:32.220386Z,MA,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,3.19664826,,$0,USD,1.09
2023-06-25T10:30:32.223554Z,PYPL,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,7.81439022,,$0,USD,1.09
2023-06-25T10:30:32.226250Z,WPC,TRANSFER FROM REVOLUT TRADING LTD TO REVOLUT SECURITIES EUROPE UAB,4.92065444,,$0,USD,1.09
2023-06-25T10:30:32.284070Z,,TRANSFER FROM REVOLUT BANK UAB TO REVOLUT SECURITIES EUROPE UAB,,,"$1,520.16",USD,1.09
2023-07-02T04:21:57.270872Z,,CUSTODY FEE,,,-$0.61,USD,1.10
2023-07-17T11:15:20.491471Z,WPC,DIVIDEND,,,$4.47,USD,1.13
2023-07-17T18:07:48.077331Z,O,DIVIDEND,,,$1.43,USD,1.13
2023-07-28T10:07:47.171315Z,NYT,DIVIDEND,,,$1.46,USD,1.10
