Date,Heure,Date de,Produit,Code ISIN,Description,FX,Mouvements,,Solde,,ID Ordre
24-08-2021,15:06,24-08-2021,ISH DM PPTY YLD,IE00BFM6T921,"Achat 58 ISH DM PPTY YLD@6,366 USD (IE00BFM6T921)",,USD,"-369,23",USD,"-1591,31",909cfb28-14a8-4492-b063-df38a74d2dbf
24-08-2021,15:06,24-08-2021,ISH DM PPTY YLD,IE00BFM6T921,"Achat 192 ISH DM PPTY YLD@6,365 USD (IE00BFM6T921)",,USD,"-1222,08",USD,"-1222,08",909cfb28-14a8-4492-b063-df38a74d2dbf
24-08-2021,00:00,23-08-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,24",EUR,"10653,16",
23-08-2021,00:00,22-08-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,45",EUR,"10653,40",
20-08-2021,00:00,19-08-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,21",EUR,"10653,85",
19-08-2021,00:00,18-08-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,19",EUR,"10654,06",
18-08-2021,00:00,17-08-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,19",EUR,"10654,25",
17-08-2021,00:00,16-08-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,24",EUR,"10654,45",
16-08-2021,00:00,15-08-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,44",EUR,"10654,68",
13-08-2021,00:00,12-08-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,18",EUR,"10655,13",
12-08-2021,00:00,11-08-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,15",EUR,"10655,31",
11-08-2021,00:00,10-08-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,21",EUR,"10655,46",
10-08-2021,00:00,09-08-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,23",EUR,"10655,67",
09-08-2021,00:00,08-08-2021,MORGAN STANLEY EUR LIQUIDITY FUND,LU1959429272,Variation Fonds Monétaires (EUR),,EUR,"-0,49",EUR,"10655,89",
